Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
Say What You Say (feat. Dr. Dre),5:10,Eminem,The Eminem Show (Expanded Edition),Hip-Hop/Rap,0,,26/05/2002,2002,,,"22/06/2024, 7:07 AM"
Say You Won't Let Go,3:31,James Arthur,Back from the Edge (Deluxe Edition),Pop,1,4,09/09/2016,2016,6,"15/11/2021, 10:09 AM","06/08/2020, 9:44 PM"
"Say, Can You Hear",3:09,Men I Trust,"Say, Can You Hear - Single",Alternative,0,,30/11/2018,2018,1,,"03/03/2023, 7:49 PM"
Saza-E-Maut (feat. Raftaar),3:00,KR$NA,"Still Here (feat. Badshah, Karma, Ikka, Raftaar & Rashmeet Kaur)",Indian Pop,1,12,18/03/2021,2021,7,"17/06/2024, 11:12 AM","23/08/2022, 11:24 AM"
Scared of the Dark (feat. XXXTENTACION),3:53,Lil Wayne & Ty Dolla $ign,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Soundtrack,0,1,14/12/2018,2018,7,"07/09/2024, 7:48 AM","22/08/2022, 12:29 PM"
Scared of the Dark (feat. XXXTENTACION),3:53,Lil Wayne & Ty Dolla $ign,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture) [Deluxe Edition],Soundtrack,0,4,14/12/2018,2018,7,"17/09/2023, 6:49 AM","14/11/2022, 1:45 PM"
Scared of the Dark (feat. XXXTENTACION) [Remix],5:05,"Lil Wayne, Ty Dolla $ign & Ozuna",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture) [Deluxe Edition],Soundtrack,0,2,22/02/2019,2019,6,"13/05/2023, 11:42 AM","23/11/2022, 8:34 PM"
"See You Again (feat. Charlie Puth) [From ""Furious 7""]",3:51,Wiz Khalifa,Nine Track Mind,Hip-Hop/Rap,1,31,10/03/2015,2015,13,"02/09/2023, 6:12 PM","06/08/2020, 8:42 PM"
Sexual Healing,3:59,Marvin Gaye,Midnight Love,R&B/Soul,0,3,01/10/1982,1982,4,"27/12/2023, 12:56 PM","28/04/2023, 3:20 PM"
Shada,3:59,Parmish Verma,Shada - Single,Indian Pop,1,2,17/03/2018,2018,8,"09/12/2022, 11:39 AM","18/12/2020, 12:59 AM"
Shallow,3:36,Lady Gaga & Bradley Cooper,A Star Is Born Soundtrack,Soundtrack,1,4,27/09/2018,2018,10,"27/05/2022, 6:38 PM","07/08/2020, 1:02 AM"
Shallow (Radio Edit),3:37,Lady Gaga & Bradley Cooper,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,0,2,03/06/2022,2022,7,"30/09/2023, 6:15 AM","22/08/2022, 12:41 PM"
Shape of You,3:54,Ed Sheeran,÷ (Deluxe),Pop,1,13,06/01/2017,2017,6,"13/04/2024, 9:53 AM","06/08/2020, 9:43 PM"
Shayad,4:08,Pritam & Arijit Singh,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,1,15,22/01/2020,2020,9,"10/05/2024, 8:25 AM","07/08/2020, 12:47 AM"
She Will Be Loved,4:18,Maroon 5,Songs About Jane,Vocal,1,2,25/06/2002,2002,6,"23/10/2023, 7:00 PM","28/12/2020, 8:42 AM"
Shehzada Title Track,3:47,"Pritam, Sonu Nigam & Mayur Puri",Shehzada (Original Motion Picture Soundtrack) - EP,Bollywood,0,12,14/02/2023,2023,3,"07/09/2024, 7:52 AM","15/04/2023, 1:31 AM"
"Shell Shocked (feat. Kill the Noise & Madsonik) [From ""Teenage Mutant Ninja Turtles""]",3:24,"Juicy J, Wiz Khalifa & Ty Dolla $ign","Shell Shocked (feat. Kill the Noise & Madsonik) [From ""Teenage Mutant Ninja Turtles""] - Single",Hip-Hop,1,13,22/07/2014,2014,4,"11/09/2024, 10:52 AM","07/08/2020, 10:58 AM"
Shine a Light,3:46,BANNERS,Banners - EP,Alternative,0,3,18/09/2015,2015,8,"12/05/2023, 8:24 AM","31/07/2021, 9:14 PM"
Shoop,4:09,Salt-N-Pepa,Very Necessary,Hip-Hop/Rap,0,,01/01/1993,1993,4,,"17/05/2023, 8:45 PM"
Short Skirt Weather,3:15,Kane Brown,Experiment Extended,Country,1,7,28/09/2018,2018,14,"27/04/2024, 9:11 AM","06/08/2020, 12:01 AM"
Sick Boy,3:13,The Chainsmokers,Sick Boy,Dance,1,5,17/01/2018,2018,7,"30/07/2023, 10:07 AM","06/08/2020, 12:30 AM"
Simple,3:05,Florida Georgia Line,Can't Say I Ain't Country,Country,1,9,18/10/2019,2018,9,"24/09/2024, 6:43 AM","05/08/2020, 11:03 PM"
Sing For The Moment,5:40,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,,21/05/2002,2002,,,"22/06/2024, 7:08 AM"
Sing for the Moment,5:40,Eminem,The Eminem Show,Hip-Hop/Rap,1,5,26/05/2002,2002,4,"01/06/2024, 7:53 AM","10/09/2020, 10:50 AM"
Sing For The Moment,5:40,Eminem,The Eminem Show (Expanded Edition),Hip-Hop/Rap,0,,21/05/2002,2002,2,,"22/06/2024, 7:07 AM"
Skin,4:00,Rag'n'Bone Man,Human (Deluxe),Alternative,1,2,26/01/2017,2017,9,"27/04/2022, 12:31 PM","01/10/2020, 2:29 PM"
Skyfall,4:46,Adele,Skyfall - Single,Pop,0,,05/10/2012,2012,,,"29/08/2024, 7:56 AM"
Smack That (feat. Eminem),3:32,Akon featuring Eminem,Konvicted,Hip-Hop/Rap,0,3,25/09/2006,2006,3,"23/07/2024, 8:03 AM","27/03/2024, 8:57 AM"
So Bad,5:25,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,0,,18/06/2010,2010,,,"22/06/2024, 8:07 AM"
So High,3:54,Sidhu Moose Wala,So High - Single,Punjabi,0,6,10/08/2017,2017,8,"06/10/2024, 7:21 PM","19/08/2022, 3:25 PM"
Soch Na Sake,4:41,"Amaal Mallik, Arijit Singh & Tulsi Kumar",Airlift (Original Motion Picture Soundtrack),Bollywood,0,5,17/12/2015,2015,10,"23/01/2023, 11:36 AM","07/08/2020, 9:25 AM"
Socha Hai,2:51,Jubin Nautiyal & Neeti Mohan,Baadshaho (Original Motion Picture Soundtrack),Bollywood,0,,19/08/2017,2017,,,"03/03/2023, 7:49 PM"
Softly,2:35,Karan Aujla & Ikky,Making Memories,Indian Pop,0,2,18/08/2023,2023,2,"07/10/2024, 8:42 AM","18/09/2024, 2:04 PM"
Some Type of Love,3:08,Charlie Puth,Nine Track Mind,Pop,0,,01/05/2015,2015,1,,"30/04/2024, 9:16 PM"
Somebody That I Used to Know (feat. Kimbra),4:06,Gotye,Somebody That I Used to Know (feat. Kimbra) - Single,Alternative,0,1,05/07/2011,2011,5,"30/07/2024, 7:52 AM","20/01/2024, 5:11 AM"
Somebody to Love,3:41,Justin Bieber,My World 2.0,Pop,1,5,19/03/2010,2010,7,"11/04/2024, 10:44 AM","06/08/2020, 8:38 PM"
Somebody to Love,3:01,OneRepublic,Somebody to Love - Single,Pop,1,9,10/09/2019,2019,6,"23/10/2023, 7:09 PM","14/10/2020, 10:37 PM"
Someone To Stay,4:14,Vancouver Sleep Clinic,Someone To Stay - Single,Alternative,0,3,04/11/2016,2016,14,"11/07/2024, 9:44 AM","05/05/2022, 10:50 PM"
Someone You Loved,3:02,Lewis Capaldi,Breach - EP,Alternative,1,4,08/11/2018,2018,4,"04/05/2023, 5:32 PM","14/10/2020, 10:37 PM"
Someone You Loved,3:02,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Alternative,1,2,08/11/2018,2018,2,"20/08/2024, 8:50 AM","28/02/2023, 3:57 PM"
Something Just Like This,4:07,The Chainsmokers & Coldplay,Memories...Do Not Open,Dance,1,5,22/02/2017,2017,12,"17/01/2024, 4:23 PM","05/08/2020, 11:30 PM"
Something Real,3:25,Post Malone,AUSTIN (Bonus),Pop,0,5,28/07/2023,2023,1,"27/03/2024, 8:25 AM","19/08/2023, 8:06 AM"
Sooraj Ki Baahon Mein,3:23,"Dominique Cerejo, Clinton Cerejo & Loy Mendonsa",Zindagi Na Milegi Dobara (Original Motion Picture Soundtrack),Bollywood,1,1,03/06/2011,2011,13,"10/07/2022, 7:48 PM","07/08/2020, 9:55 AM"
Soorma Anthem,4:12,Shankar-Ehsaan-Loy & Shankar Mahadevan,Soorma (Original Motion Picture Soundtrack),Bollywood,1,10,25/06/2018,2018,12,"21/11/2023, 2:41 PM","16/08/2020, 5:39 PM"
Sorry,3:21,Justin Bieber,Purpose (Deluxe),Pop,1,5,23/10/2015,2015,3,"11/10/2023, 4:44 AM","06/08/2020, 8:37 PM"
SOS (feat. Aloe Blacc),2:37,Avicii,TIM,Dance,1,1,10/03/2019,2019,18,"28/07/2024, 8:24 PM","07/08/2020, 1:06 AM"
Soul,2:48,Lee Brice,Hey World,Country,0,,20/11/2020,2020,9,,"14/01/2023, 9:21 PM"
South of the Border (feat. Camila Cabello & Cardi B),3:24,Ed Sheeran,No.6 Collaborations Project,Pop,1,10,12/07/2019,2019,3,"12/05/2024, 10:37 PM","06/08/2020, 9:42 PM"
Space Bound,4:39,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,1,4,18/06/2010,2010,13,"21/09/2022, 10:34 PM","06/08/2020, 12:21 AM"
Speechless (feat. Tori Kelly),3:29,Dan + Shay,Speechless (feat. Tori Kelly) - Single,Country,1,12,07/06/2019,2019,6,"22/06/2024, 6:47 PM","14/10/2020, 10:37 PM"
Speed Me Up (From “Sonic the Hedgehog”),3:35,"Wiz Khalifa, Ty Dolla $ign, Sueco & Lil Yachty",Speed Me Up (From “Sonic the Hedgehog”) - Single,Hip-Hop/Rap,1,8,24/01/2020,2020,14,"22/06/2024, 7:18 PM","07/08/2020, 11:37 AM"
Square Dance,5:24,Eminem,The Eminem Show (Expanded Edition),Hip-Hop/Rap,0,,26/05/2002,2002,2,,"22/06/2024, 8:07 AM"
Stan (feat. Dido),6:44,Eminem,Curtain Call: The Hits,Hip-Hop/Rap,0,,21/11/1999,1999,5,,"27/05/2024, 2:39 PM"
Stan (feat. Dido),6:44,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,,21/11/1999,1999,,,"22/06/2024, 7:08 AM"
Stan (feat. Dido),6:44,Eminem,The Marshall Mathers LP,Hip-Hop/Rap,1,2,21/11/1999,1999,4,"10/11/2023, 3:32 PM","10/09/2020, 10:50 AM"
Starboy (feat. Daft Punk),3:50,The Weeknd,Starboy,R&B/Soul,1,5,21/09/2016,2016,22,"09/09/2023, 7:40 AM","06/08/2020, 12:18 AM"
Stardom,3:44,"Yo Yo Honey Singh, Mansheel Gujral & Lil Golu",Desi Kalakaar,Indian Pop,0,4,26/08/2014,2014,6,"09/09/2023, 6:58 AM","04/05/2023, 12:52 PM"
Stargazing,2:53,Myles Smith,Stargazing - Single,Singer/Songwriter,0,,10/05/2024,2024,2,,"18/07/2024, 10:03 PM"
Starman,4:14,David Bowie,ChangesTwoBowie (2018 Remaster),Pop,0,,28/04/1972,1972,,,"26/08/2024, 2:48 PM"
Start a Riot,3:36,BANNERS,Banners - EP,Alternative,0,7,04/12/2015,2015,7,"11/10/2023, 8:59 AM","31/07/2021, 9:14 PM"
STAY,2:22,The Kid LAROI & Justin Bieber,F*CK LOVE 3+: OVER YOU,Pop,0,18,09/07/2021,2021,10,"16/04/2024, 8:12 AM","24/04/2022, 1:10 AM"
STAY,2:22,The Kid LAROI & Justin Bieber,STAY - Single,Pop,0,20,09/07/2021,2021,5,"27/08/2023, 1:50 PM","21/08/2021, 12:52 AM"
Stayin' Alive,4:43,Bee Gees,The Ultimate Bee Gees,Pop,0,1,15/11/1977,1977,5,"06/04/2023, 1:24 PM","03/03/2023, 7:49 PM"
Steal My Girl,3:48,One Direction,FOUR (The Ultimate Edition),Pop,1,8,29/09/2014,2014,10,"01/05/2023, 7:43 AM","06/08/2020, 8:49 PM"
Stepdad,3:33,Eminem,Music To Be Murdered By - Side B (Deluxe Edition),Hip-Hop/Rap,0,,17/01/2020,2020,,,"22/06/2024, 7:08 AM"
Stepdad (Intro),0:15,Eminem,Music To Be Murdered By - Side B (Deluxe Edition),Hip-Hop/Rap,0,,17/01/2020,2020,1,,"22/06/2024, 7:08 AM"
Stereo Hearts (feat. Adam Levine),3:31,Gym Class Heroes,Stereo Hearts (feat. Adam Levine) - Single,Pop,1,4,14/06/2011,2011,7,"18/09/2024, 12:57 PM","10/11/2020, 12:02 PM"
Still Be Friends (feat. Tory Lanez & Tyga),3:33,G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga) - Single,Hip-Hop/Rap,1,4,07/02/2020,2020,11,"27/08/2023, 1:48 PM","07/08/2020, 10:53 AM"
Still D.R.E. (feat. Snoop Dogg),4:31,Dr. Dre,2001,Hip-Hop/Rap,1,6,03/10/1999,1999,6,"27/06/2024, 7:01 AM","28/10/2020, 1:57 AM"
"Still Falling for You (From ""Bridget Jones's Baby"")",4:01,Ellie Goulding,"Still Falling for You (From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack) - Single",Pop,0,6,19/08/2016,2016,6,"13/05/2024, 8:20 AM","31/10/2021, 3:49 AM"
Story of My Life,4:05,One Direction,Midnight Memories (Deluxe Edition),Pop,1,7,28/10/2013,2013,8,"05/11/2023, 7:34 AM","06/08/2020, 8:49 PM"
Straight Outta Compton,4:19,N.W.A.,Straight Outta Compton,Hip-Hop/Rap,1,4,10/07/1988,1988,10,"06/04/2024, 8:37 AM","10/09/2020, 10:55 AM"
Stressed Out,3:22,twenty one pilots,Blurryface,Alternative,1,4,28/04/2015,2015,11,"01/11/2022, 9:13 PM","08/08/2020, 9:40 AM"
Stupid Love,3:34,Jason Derulo,Tattoos,Pop,1,9,20/09/2013,2013,11,"10/07/2024, 7:51 AM","07/08/2020, 2:03 AM"
Stupid Me,3:44,MAGIC!,Don't Kill the Magic,Pop,1,6,30/06/2014,2014,8,"12/09/2024, 7:35 AM","13/08/2020, 6:15 PM"
Subha Hone Na De,4:49,"Pritam, Mika Singh & Shefali Alvares",Desi Boyz (Original Motion Picture Soundtrack),Bollywood,0,6,18/10/2011,2011,1,"16/04/2024, 6:58 AM","07/05/2022, 11:00 PM"
Subhanallah,4:10,"Pritam, Sreeram & Shilpa Rao",Yeh Jawaani Hai Deewani (Original Motion Picture Soundtrack),Bollywood,0,11,30/03/2013,2013,11,"14/07/2024, 8:04 AM","03/07/2021, 2:14 AM"
Sucker,3:01,Jonas Brothers,Happiness Begins,Pop,1,8,01/03/2019,2019,4,"03/10/2024, 8:10 AM","08/08/2020, 1:59 AM"
"Sucker M.C.'s (Live at Graffiti Rock, NYC - June 1984)",3:24,Run-DMC,RUN-DMC (Expanded Edition),Hip-Hop/Rap,0,,27/03/1984,1984,,,"10/06/2022, 11:07 AM"
Suffer,3:31,Charlie Puth,Nine Track Mind,Pop,0,1,01/05/2015,2015,1,"04/09/2024, 9:07 PM","30/04/2024, 9:16 PM"
Sugar,3:56,Maroon 5,V,Pop,1,7,29/08/2014,2014,9,"10/06/2024, 9:36 AM","11/08/2020, 12:15 AM"
Sugar (feat. Wynter),4:13,Flo Rida,R.O.O.T.S.,Hip-Hop/Rap,1,3,17/03/2009,2009,12,"09/06/2024, 8:31 AM","05/08/2020, 11:23 PM"
Sugar Wraith,3:48,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,1,4,27/04/2018,2018,13,"16/11/2023, 8:21 AM","05/08/2020, 11:15 PM"
Suit,3:21,Guru Randhawa & Arjun,Suit - Single,Punjabi Pop,1,2,24/06/2016,2016,9,"29/04/2024, 8:03 AM","12/04/2022, 10:35 AM"
Suit Punjabi,3:22,Jass Manak,Suit Punjabi - Single,Regional Indian,1,10,13/09/2018,2018,17,"24/09/2024, 7:49 AM","08/08/2020, 1:05 AM"
Suit Suit (feat. Arjun),3:10,"Guru Randhawa, Rajat Nagpal & Intense",Hindi Medium (Original Motion Picture Soundtrack),Bollywood,1,3,13/04/2017,2017,2,"14/07/2024, 3:43 PM","01/05/2023, 11:00 AM"
Summer High,2:57,AP Dhillon,Summer High - Single,Pop,0,16,08/05/2022,2022,17,"06/10/2024, 7:02 PM","25/02/2023, 5:13 AM"
Sunflower (Spider-Man: Into the Spider-Verse),2:38,Post Malone & Swae Lee,Hollywood's Bleeding,Hip-Hop/Rap,1,15,18/10/2018,2018,12,"17/01/2024, 4:26 PM","05/08/2020, 11:15 PM"
Sunflower (Spider-Man: Into the Spider-Verse),2:38,Post Malone & Swae Lee,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture) [Deluxe Edition],Hip-Hop/Rap,2,8,18/10/2018,2018,9,"15/12/2023, 7:58 AM","23/11/2022, 8:34 PM"
Suniyan Suniyan,3:18,Juss & Mixsingh,Suniyan Suniyan - Single,Indian,0,1,12/04/2024,2024,,"07/10/2024, 8:46 AM","06/10/2024, 6:35 PM"
Superman,3:48,Raftaar & Manj Musik,Mr. Nair,Soundtrack,0,17,13/04/2020,2020,6,"13/06/2024, 12:23 PM","23/01/2023, 10:06 PM"
Superman (feat. Dina Rae),5:50,Eminem,The Eminem Show,Hip-Hop/Rap,1,2,26/05/2002,2002,6,"18/12/2023, 5:33 AM","10/09/2020, 10:50 AM"
Superman (feat. Dina Rae),5:50,Eminem,The Eminem Show (Expanded Edition),Hip-Hop/Rap,0,,26/05/2002,2002,,,"22/06/2024, 7:07 AM"
Supermarket Flowers,3:41,Ed Sheeran,÷ (Deluxe),Pop,1,7,03/03/2017,2017,3,"20/07/2024, 4:23 PM","06/08/2020, 9:43 PM"
Swag Mera Desi,4:08,Raftaar & Manj Musik,Spoken Word - EP,Indian,1,7,24/11/2014,2014,20,"16/07/2024, 7:36 AM","05/04/2022, 12:07 PM"
Swag Mera Desi (Spoken Word),4:08,Raftaar & Manj Musik,Spoken Word,Regional Indian,0,1,24/11/2014,2014,7,"22/09/2023, 6:26 AM","30/04/2023, 6:03 AM"
Sweet Dreams (Are Made of This),3:37,Eurythmics,Sweet Dreams (Are Made of This) [Remastered],Pop,0,1,01/09/1982,1982,3,"01/05/2024, 6:31 AM","10/04/2024, 3:42 PM"
Sweet Home Alabama,4:44,Lynyrd Skynyrd,Second Helping,Rock,0,,15/04/1974,1974,,,"19/07/2024, 9:11 PM"
Take Back Home Girl (feat. Tori Kelly),3:32,Chris Lane,Laps Around the Sun,Country,1,5,29/09/2017,2017,6,"28/06/2024, 8:19 AM","05/08/2020, 11:03 PM"
Take Forever (Hally's Song),3:05,Cooper Alan,Take Forever - EP,Country,0,5,10/11/2023,2023,5,"28/06/2024, 6:38 AM","23/03/2024, 4:45 PM"
Take It Back,3:28,Ed Sheeran,x (Deluxe Edition),Pop,1,3,20/06/2014,2014,13,"12/07/2023, 8:04 AM","06/08/2020, 8:44 PM"
Take Me Back to London (feat. Stormzy),3:10,Ed Sheeran,No.6 Collaborations Project,Pop,1,13,12/07/2019,2019,11,"23/07/2024, 9:15 AM","06/08/2020, 9:42 PM"
Take Me Home,3:22,Restless Road & Kane Brown,Restless Road - EP,Country,0,7,27/02/2020,2020,6,"23/06/2024, 10:44 AM","20/03/2022, 8:23 AM"
Talk,3:18,Khalid,Free Spirit,R&B/Soul,1,3,09/02/2019,2019,14,"23/07/2024, 8:21 AM","05/08/2020, 11:18 PM"
Taste the Feeling (Avicii vs. Conrad Sewell),3:11,Avicii & Conrad Sewell,Taste the Feeling (Avicii vs. Conrad Sewell) - Single,Dance,0,9,11/03/2016,2016,11,"30/05/2024, 6:24 AM","02/03/2022, 1:48 AM"
Tattoo,3:27,Jason Derulo,Tattoos,Pop,1,2,20/09/2013,2013,6,"14/02/2022, 6:53 AM","07/08/2020, 2:04 AM"
"Tauba Tauba (From ""Bad Newz"")",3:27,Karan Aujla,"Tauba Tauba (From ""Bad Newz"") - Single",Bollywood,0,4,02/07/2024,2024,2,"28/09/2024, 2:44 PM","08/07/2024, 9:43 AM"
Teenage Dream,3:48,Katy Perry,Teenage Dream,Teen Pop,1,2,23/07/2010,2010,17,"14/02/2022, 8:50 AM","06/08/2020, 9:03 PM"
Teeth,3:25,5 Seconds of Summer,Teeth - Single,Pop,1,4,21/08/2019,2019,5,"11/12/2021, 1:20 PM","06/08/2020, 8:46 PM"
Tennu Le,5:08,Omer Inayat,Jai Veeru (Original Motion Picture Soundtrack),Bollywood,0,4,05/02/2009,2009,12,"26/08/2023, 7:34 AM","04/04/2022, 9:51 AM"
Tenu Na Bol Pawaan,4:55,Yasser Desai & Jyotica Tangri,Behen Hogi Teri (Original Motion Picture Soundtrack),Bollywood,0,9,23/05/2017,2017,12,"04/02/2024, 8:01 AM","07/04/2021, 6:48 PM"
Tera Ban Jaunga,3:56,Akhil Sachdeva & Tulsi Kumar,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,0,5,14/06/2019,2019,11,"08/12/2022, 9:49 AM","07/08/2020, 1:11 AM"
Tera Ghata,4:14,Gajendra Verma,Tera Ghata - Single,Pop,1,2,24/06/2018,2018,8,"08/04/2023, 7:09 AM","07/08/2020, 10:43 AM"
Tera Zikr,3:29,Darshan Raval,Tera Zikr - Single,Pop,1,10,10/11/2017,2017,10,"08/07/2023, 7:43 AM","07/08/2020, 12:48 AM"
Tere Bin,5:38,Kunal Ganjawala & Sunidhi Chauhan,Bhagam Bhag (Original Motion Picture Soundtrack),Bollywood,1,1,18/11/2006,2006,15,"15/10/2023, 5:48 PM","11/09/2020, 10:59 PM"
Tere Bin,3:51,"Rahat Fateh Ali Khan, Asees Kaur & Tanishk Bagchi",Simmba (Original Motion Picture Soundtrack),Bollywood,1,9,14/12/2018,2018,11,"30/07/2023, 10:26 AM","07/08/2020, 11:07 AM"
Tere Bina,5:10,"A.R. Rahman, Chinmayi Sripada, Murtuza Khan & Qadir Khan",Guru (Original Motion Picture Soundtrack),Bollywood,0,2,16/11/2006,2006,1,"22/11/2023, 2:11 PM","13/04/2022, 12:25 AM"
Tere Bina,2:37,Zaeden,Tere Bina - Single,Indian Pop,0,1,05/09/2019,2019,3,"13/10/2023, 5:09 AM","16/08/2023, 5:38 AM"
Tere Hi Naal,3:21,Kamal Khan & Kumaar,Aa Gaye Munde U.K. De (Original Motion Picture Soundtrack) - EP,Soundtrack,0,,17/07/2014,2014,3,,"02/02/2024, 10:50 AM"
Tere Mere Saath,4:33,Lucky Ali,Aks,Indian Pop,0,3,14/09/2000,2000,6,"04/05/2024, 10:15 AM","10/08/2022, 8:50 PM"
Tere Naal,3:18,Tulsi Kumar & Darshan Raval,Tere Naal - Single,Indian Pop,1,14,19/05/2020,2020,11,"30/08/2024, 7:20 AM","18/12/2020, 1:09 AM"
Tere Naina,4:39,Shankar Ehsaan Loy & Shafqat Amanat Ali,My Name Is Khan (Original Motion Picture Soundtrack) - EP,Bollywood,0,6,04/01/2010,2010,5,"03/04/2023, 6:32 AM","26/10/2022, 11:28 PM"
"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",4:26,"Pritam, Arijit Singh, Nikhita Gandhi & Amitabh Bhattacharya","Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"") - Single",Bollywood,0,3,12/02/2023,2023,2,"28/12/2023, 7:33 AM","25/02/2023, 4:13 AM"
Tere Siva,3:58,Darshan Raval,Tere Siva - Single,Indian Pop,1,3,14/10/2016,2016,7,"29/04/2024, 9:43 AM","23/05/2023, 3:44 PM"
Tere Wargi Nai Ae,3:10,Raftaar,Tere Wargi Nai Ae - Single,Indian Pop,1,,07/01/2021,2017,1,,"18/12/2020, 1:07 AM"
TEXAS HOLD 'EM,3:53,Beyoncé,TEXAS HOLD 'EM - Single,Country,0,4,11/02/2024,2024,1,"04/09/2024, 8:57 PM","18/06/2024, 9:05 PM"
Thank You,3:38,Dido,No Angel,Pop,0,1,01/06/1999,1999,9,"04/09/2023, 6:23 AM","01/09/2022, 9:19 PM"
That’s Not How This Works (feat. Dan + Shay & Sabrina Carpenter) [Sabrina’s Version],2:47,Charlie Puth,That’s Not How This Works (feat. Dan + Shay & Sabrina Carpenter) [Sabrina’s Version] - Single,Pop,0,,14/04/2023,2023,3,,"15/08/2023, 8:31 AM"
That's What I Like,3:27,Bruno Mars,24K Magic,Pop,0,1,18/11/2016,2016,3,"24/01/2024, 2:29 PM","10/01/2024, 8:27 AM"
Theher Ja,2:42,Abhishek Arora & Armaan Malik,October (Original Motion Picture Soundtrack),Bollywood,0,3,21/03/2018,2018,9,"08/07/2023, 7:51 AM","12/08/2022, 11:02 AM"
Then There's You,3:34,Charlie Puth,Nine Track Mind,Pop,0,,29/01/2016,2016,1,,"30/04/2024, 9:16 PM"
There Goes My Baby (feat. Flo Rida),3:18,Enrique Iglesias,S** AND LOVE,Latin,1,8,14/03/2014,2014,7,"30/07/2024, 8:48 AM","06/08/2020, 12:27 AM"
Thinking Out Loud,4:42,Ed Sheeran,x (Deluxe Edition),Pop,1,5,20/06/2014,2014,10,"15/07/2023, 8:20 AM","06/08/2020, 8:44 PM"
This City,3:16,Sam Fischer,"I Love You, Please Don't Hate Me",Pop,0,1,08/09/2023,2023,6,"28/09/2024, 8:19 AM","12/02/2024, 6:06 PM"
This City,3:15,Sam Fischer,These Cities - EP,Pop,0,3,08/09/2023,2023,3,"17/01/2024, 5:23 PM","03/03/2023, 7:49 PM"
This City,3:15,Sam Fischer,This City - Single,Pop,1,10,08/09/2023,2018,4,"19/07/2024, 9:17 AM","14/10/2020, 11:37 PM"
This Feeling (feat. Kelsea Ballerini),3:18,The Chainsmokers,Sick Boy,Dance,1,21,21/09/2018,2018,6,"29/09/2024, 9:47 PM","06/08/2020, 12:30 AM"
This Is America,3:46,Childish Gambino,This Is America - Single,Hip-Hop/Rap,0,5,06/05/2018,2018,,"04/07/2024, 1:02 PM","23/06/2024, 9:51 PM"
This Is It,3:51,Scotty McCreery,Seasons Change,Country,0,,09/03/2018,2018,7,,"03/04/2023, 9:08 PM"
This Is Me,3:55,Keala Settle & The Greatest Showman Ensemble,The Greatest Showman (Original Motion Picture Soundtrack),Soundtrack,1,10,27/10/2017,2017,10,"22/07/2024, 8:25 AM","22/09/2020, 12:52 AM"
This Is War,3:38,"Gawne, Atlus & Tech N9ne",Waves,Hip-Hop/Rap,0,5,04/11/2021,2021,9,"04/02/2024, 8:12 AM","22/04/2022, 2:01 AM"
This Love,3:27,Maroon 5,Songs About Jane,Pop,1,4,25/06/2002,2002,7,"09/01/2024, 7:19 PM","28/12/2020, 8:42 AM"
This Summer's Gonna Hurt Like a MotherF****r,3:44,Maroon 5,V (Deluxe),Pop,1,8,29/08/2014,2014,10,"17/01/2024, 5:41 PM","06/08/2020, 9:59 PM"
Those Kinda Nights (feat. Ed Sheeran),2:58,Eminem,Music To Be Murdered By,Hip-Hop/Rap,1,,17/01/2020,2020,4,,"28/01/2023, 6:02 PM"
Those Kinda Nights (feat. Ed Sheeran),2:58,Eminem,Music To Be Murdered By - Side B (Deluxe Edition),Hip-Hop/Rap,0,,17/01/2020,2020,2,,"22/06/2024, 7:08 AM"
A Thousand Good Miles,3:24,Sture Zetterberg,A Thousand Good Miles - EP,Pop,0,4,27/08/2021,2021,8,"07/03/2024, 9:36 AM","30/08/2021, 6:22 PM"
Thug Life,2:31,Diljit Dosanjh,Roar,Punjabi Pop,0,,18/12/2018,2018,4,,"31/01/2024, 10:51 AM"
Thug Ranjha,3:05,Akasa,Thug Ranjha - Single,Pop,0,3,17/05/2018,2018,8,"29/07/2022, 11:15 AM","12/08/2020, 5:38 PM"
Thunder,3:07,Imagine Dragons,Evolve,Alternative,1,3,27/04/2017,2018,16,"02/02/2024, 10:08 PM","05/08/2020, 11:31 PM"
